"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 13:19:23 UTC 2022","Thu Jul 28 13:19:34 UTC 2022","11497","","Create A New User","","","","Sign Up",""
"passed","Thu Jul 28 13:19:38 UTC 2022","Thu Jul 28 13:19:53 UTC 2022","14994","","Login into your account","","","","Login",""
"passed","Thu Jul 28 13:19:08 UTC 2022","Thu Jul 28 13:19:09 UTC 2022","1232","","Fetch all Marvel Characters","","","","Fetch All Characters",""
"passed","Thu Jul 28 13:21:28 UTC 2022","Thu Jul 28 13:21:31 UTC 2022","2699","","Add Item to Cart","","","","Add Item",""
"passed","Thu Jul 28 13:22:38 UTC 2022","Thu Jul 28 13:22:48 UTC 2022","10552","","Delete Item from Cart","","","","Delete Item",""
"passed","Thu Jul 28 13:20:43 UTC 2022","Thu Jul 28 13:20:48 UTC 2022","5076","","Search Item","","","","Search Item",""
"broken","Thu Jul 28 13:22:51 UTC 2022","Thu Jul 28 13:22:51 UTC 2022","1","","Add Item to Cart","","","","Fill out contact us form",""
"passed","Thu Jul 28 13:19:13 UTC 2022","Thu Jul 28 13:19:13 UTC 2022","518","","Fetch all Spiderman Comics","","","","Fetch All Characters for X-Man",""
"broken","Thu Jul 28 15:00:54 UTC 2022","Thu Jul 28 15:00:54 UTC 2022","1","","Subscribe to newsletter","","","","Subscribe to NewsLetter",""
"broken","Thu Jul 28 14:50:14 UTC 2022","Thu Jul 28 14:50:14 UTC 2022","0","","cypress/e2e/UI/TC0005-subscribeToNewsletter.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/UI/TC0005-subscribeToNewsletter.cy.js",""
"passed","Thu Jul 28 13:20:09 UTC 2022","Thu Jul 28 13:20:14 UTC 2022","5300","","Logout from your account","","","","Logout",""
"passed","Thu Jul 28 13:19:09 UTC 2022","Thu Jul 28 13:19:09 UTC 2022","143","","Fetch all Marvel Characters","","","","Missing api key",""
"passed","Thu Jul 28 14:44:00 UTC 2022","Thu Jul 28 14:44:03 UTC 2022","3010","","Subscribe to newsletter","","","","Subscribe to NewsLetter",""
"broken","Thu Jul 28 13:22:18 UTC 2022","Thu Jul 28 13:22:18 UTC 2022","1","","Delete Item from Cart","","","","Checkout",""
"passed","Thu Jul 28 13:19:10 UTC 2022","Thu Jul 28 13:19:11 UTC 2022","625","","Fetch all Spiderman Comics","","","","Fetch All Comics for Spiderman",""
"passed","Thu Jul 28 13:19:13 UTC 2022","Thu Jul 28 13:19:14 UTC 2022","445","","Fetch all Spiderman Comics","","","","Missing Hash",""
"broken","Thu Jul 28 13:22:50 UTC 2022","Thu Jul 28 13:22:50 UTC 2022","1","","Add message to order","","","","Add message to order",""
"passed","Thu Jul 28 13:19:11 UTC 2022","Thu Jul 28 13:19:12 UTC 2022","495","","Fetch all Spiderman Comics","","","","Title with no value",""
